gene
Cx3cr1
Hexb
P2ry12
Tmem119
Sparc
Cst3
Olfml3
Fcrls
Smad7
Slc1a3
Nav2
Nav3
Fchsd2
Pik3ip1
Ccl3
Ccl4
B4galt1
Fkbp5
Ifit2
Ifit3
Isg15
Usp18
Phf11d
Mrc1
Pf4
F13a1
Lyve1
Dab2
S100a9
S100a8
Retnlg
Ifitm1
Wfdc17
Chil3
Plac8
S100a4
Napsa
Smpdl3a
H2-Aa
H2-Eb1
H2-Ab1
Ciita
Axl
Nkg7
Ms4a4b
Gzmb
Klrk1
Prf1
