,cWT-1,cWT-2,cKO-1,cKO-2
4930521E06Rik,0,0,0,0
Col5a2,0,0,0,1
Gm5269,2,6,8,1
Slc40a1,1896,1768,2096,1447
Slc39a10,815,597,489,385
Gm28151,0,0,0,0
Gm29665,0,0,0,0
Gm28319,0,0,0,0
9330175M20Rik,0,0,0,0
1700072G22Rik,0,0,0,0
Nabp1,50,40,62,59
Gm17767,0,0,0,1
Gm28055,1,0,0,0
Myo1b,778,760,671,1003
Gm29453,0,0,0,0
Gm28323,0,0,0,0
Gm31812,24,5,17,10
Gls,384,408,548,526
Nab1,297,256,304,332
Gm28178,0,0,0,1
Mfsd6,2,2,13,2
Gm29670,0,0,0,0
Inpp1,139,156,147,130
1700019D03Rik,17,9,38,20
1700019A02Rik,1,0,0,1
Pms1,94,91,125,100
Asnsd1,319,267,330,289
Asdurf,0,0,0,0
Dnah7a,0,0,0,0
Stk17b,1622,1114,3026,1835
Hecw2,0,2,2,1
Gtf3c3,417,345,396,399
Gm34066,0,0,0,0
Pgap1,198,146,209,157
Ankrd44,1613,1394,1958,1793
Sf3b1,5572,5146,6270,6646
Hspd1,1825,1367,1979,1824
Rftn2,8,10,12,7
Boll,2,0,0,0
Hsfy2,0,0,0,0
Satb2,13,18,9,16
BC055402,0,0,0,1
4930558J18Rik,0,0,0,0
Tyw5,158,150,169,102
Gm17234,0,0,0,0
Kctd18,149,155,282,241
Gm15759,0,0,1,0
Clk1,4535,3246,5811,4743
Ppil3,294,183,310,147
Orc2,401,423,446,428
Fam126b,714,622,973,970
Flacc1,0,0,2,0
Trak2,136,161,230,202
C2cd6,0,0,0,0
AC169382.1,0,0,0,0
Tmem237,252,284,242,182
Mpp4,0,0,2,0
Als2,33,34,37,47
Gm26813,3,6,3,16
Gm28411,0,0,0,0
1700122D07Rik,0,0,0,0
Sumo1,213,154,183,222
Ica1l,154,146,228,276
Wdr12,550,441,927,648
Raph1,32,21,32,27
Gm11579,0,0,0,0
Gm28083,0,0,0,0
4930587A21Rik,0,0,0,0
Pard3bos1,6,9,7,9
Pard3bos2,0,0,0,1
Pard3bos3,0,0,0,1
Gm29084,0,0,0,0
Gm29083,0,1,0,0
Gm4208,0,0,0,0
Ino80d,420,430,440,556
Ndufs1,514,471,571,513
Gpr1,0,0,0,0
Gm11608,0,0,0,0
Dytn,0,0,0,0
Mdh1b,0,0,0,0
4933402D24Rik,0,1,0,1
Klf7,1459,1218,2087,1768
Gm28981,0,0,1,3
Mettl21a,388,308,366,270
2810408I11Rik,6,4,2,0
Fzd5,87,62,117,83
Plekhm3,122,112,182,118
Akr1cl,0,0,0,0
Cryge,0,0,0,0
Crygd,0,0,0,0
Crygc,0,0,0,0
Crygb,0,0,0,0
Cryga,0,0,0,0
D630023F18Rik,0,0,0,0
Idh1,441,388,457,323
Gm10558,0,0,0,0
Kansl1l,493,443,467,395
Acadl,775,536,801,780
Myl1,0,0,0,0
Lancl1,256,200,301,279
Erbb4,1,1,1,2
Gm16076,0,0,0,0
Gm29113,1,3,2,3
Ikzf2,375,326,346,318
Gm29112,0,0,0,0
Gm28112,0,0,0,0
Bard1,33,24,26,17
Abca12,0,0,0,1
Fn1,51,34,356,97
Gm28818,0,0,0,0
4933417E11Rik,0,0,0,0
4930556G22Rik,0,0,0,0
Gm4319,0,1,2,2
Mreg,2,0,0,3
Pecr,550,415,681,561
March4,0,0,0,0
Ankar,0,0,0,0
Igfbp5,4,15,1,7
Tnp1,0,0,0,0
Pinc,0,0,0,0
C530043A13Rik,0,0,0,0
6030407O03Rik,0,0,0,0
Gm29183,0,0,0,0
Tns1,899,735,2145,1680
Cxcr1,1,0,1,0
Aamp,2091,1773,1978,1866
Tmbim1,251,223,372,241
Usp37,382,395,388,296
Zfp142,108,136,150,97
Rnf25,227,196,251,169
Prkag3,0,2,0,0
Gm29539,0,0,0,0
Fev,1,0,0,0
Cryba2,0,0,0,0
Cfap65,0,1,2,3
Ihh,1,2,2,1
Nhej1,71,43,83,35
Slc23a3,0,3,1,4
Cnppd1,924,609,1328,801
Abcb6,142,115,150,115
Atg9a,192,177,286,286
Glb1l,35,55,47,31
Tuba4a,79,46,212,115
A630095N17Rik,0,0,0,0
Ptprn,2,0,1,3
Resp18,4,0,0,0
Dnpep,407,328,530,316
Gm15179,0,0,0,0
Gm15178,0,0,0,0
Chpf,10,7,18,9
Obsl1,0,0,1,0
Gm29065,0,0,0,0
Gm816,0,0,0,0
Epha4,0,5,2,3
Gm28387,0,0,0,0
Pax3,0,0,0,0
Gm28410,0,0,0,0
Farsb,97,70,98,55
BC035947,0,0,0,0
5730419F03Rik,0,0,0,0
Gm29536,0,0,0,0
Scg2,15,0,0,1
Ap1s3,3,0,9,5
Wdfy1,445,447,753,757
Serpine2,6758,6054,6285,6322
Fam124b,0,0,0,0
Cul3,1299,1266,1402,1384
Gm45261,0,0,0,0
Dock10,3429,2989,3135,2632
Irs1,1,0,1,0
Gm28940,28,30,42,36
Col4a4,6,8,15,15
C430014B12Rik,3,0,3,1
Tm4sf20,1,1,1,3
Gm47791,0,0,0,0
Gm6217,0,0,0,1
A030003K21Rik,0,0,0,0
Gm7544,0,0,0,0
Slc19a3,0,0,0,1
Krtap28-10,0,0,0,0
A030005K14Rik,0,0,0,0
Sphkap,1,1,0,0
4933436I20Rik,0,0,0,0
Pid1,605,526,794,483
Dner,0,6,4,3
Trip12,1215,1153,1319,1103
Slc16a14,9,1,49,5
C130026I21Rik,9,4,13,15
A530032D15Rik,5,3,3,5
Gm16092,0,0,0,0
Sp110,1127,1013,1102,998
Gm10552,0,0,0,0
Gm17017,4,6,5,7
A630001G21Rik,715,604,945,750
Gm28884,0,0,0,0
Gpr55,0,0,1,0
Gm28100,0,0,0,0
Htr2b,9,18,13,22
Gm16341,0,0,0,0
Gm28626,2,1,1,2
Ncl,5119,4520,6611,6457
Nmur1,0,0,0,0
Pde6d,78,69,104,37
Nppc,0,0,2,0
Gm28375,0,0,1,0
Alppl2,0,0,0,0
Alpi,0,0,0,0
Gm29374,0,0,0,0
Ecel1,1,0,0,0
Efhd1os,0,0,0,0
Kcnj13,40,59,72,93
