X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,r
X1700030K09Rik,173.1967797,0.306723759,0.214139383,1.432355665,0.15204206,0.229954232,1
X1700030J22Rik,15.87127165,-0.578375577,0.683590764,-0.84608454,0.397505585,0.515124258,1
X1700030C10Rik,13.22865153,-1.091927379,0.642678341,-1.699026261,0.089314236,0.143768557,1
X1700029P11Rik,0.216993322,1.716366415,4.080472857,0.420629294,0.6740258,0.761121288,1
X1700029J07Rik,35.49139663,0.32333247,0.403485674,0.80134808,0.422930164,0.54104838,1
X1700028P14Rik,12.59594697,2.738494835,0.740841438,3.696465524,0.000218622,0.000522715,1
X1700028K03Rik,4.8022855,-1.128965659,1.073794882,-1.051379251,0.293084442,0.40251971,1
X1700028J19Rik,4.590740119,-0.298288906,1.057501152,-0.282069581,0.777890158,0.847613089,1
X1700028E10Rik,6.818076128,-0.442304402,0.887200677,-0.498539297,0.618103979,0.72249071,1
X1700026L06Rik,16.38208743,1.843531812,0.566081975,3.256651673,0.001127347,0.002498329,1
X1700026J14Rik,0.957843308,3.794115221,2.638018627,1.438244288,0.150364753,0.227781865,1
X1700026D08Rik,30.39904109,1.611129328,0.420417447,3.832213287,0.000126996,0.000310912,1
X1700025G04Rik,104.815048,-0.461019732,0.236316665,-1.950855785,0.051074204,0.087052356,1
X1700024G13Rik,6.689944736,3.250881739,1.021098941,3.183708854,0.001454012,0.003175809,1
X1700024F13Rik,0.559955783,1.664154372,3.281270231,0.507167729,0.612037136,0.717177534,1
X1700023F06Rik,1.731902861,3.531073407,2.092625755,1.68738887,0.091528603,0.146887179,1
X1700021N21Rik,0.863312389,2.397604351,2.812099446,0.852602974,0.393879513,0.511166874,1
X1700021K19Rik,746.2338465,-0.75575285,0.110459625,-6.841892253,7.82E-12,3.26E-11,1
X1700021F05Rik,182.1452693,1.465612494,0.202310346,7.244377391,4.34E-13,1.97E-12,1
X1700020N01Rik,23.90690622,1.076490027,0.511344998,2.105212785,0.03527279,0.062142066,1
X1700020L24Rik,52.32888413,-0.038352894,0.343059002,-0.111796788,0.910984535,0.944184922,1
X1700020I14Rik,375.0030863,0.293217719,0.153840637,1.905983522,0.056652344,0.095571265,1
X1700020D05Rik,3.62776128,-2.298582467,1.342164951,-1.712593125,0.086787419,0.140179812,1
X1700019L03Rik,6.814720936,2.144267226,0.941435243,2.277657695,0.02274698,0.041527431,1
X1700019G24Rik,0.740849986,3.426180015,3.153712907,1.08639566,0.277303981,0.384361798,1
X1700019G17Rik,59.28936861,0.051406954,0.295394617,0.174028065,0.861843406,0.905815003,1
X1700019D03Rik,1.896414021,2.697672096,1.870054566,1.442563305,0.149143526,0.226214567,1
X1700019B03Rik,0.341938086,0.754585943,3.949540931,0.19105662,0.848481233,0.896332089,1
X1700018L02Rik,17.45799847,0.47333472,0.581459211,0.8140463,0.415618427,0.533849331,1
X1700017B05Rik,3781.63585,-1.407006539,0.106792782,-13.17510896,1.22E-39,2.00E-38,1
X1700016K19Rik,26.03527934,2.663158796,0.51781921,5.143028195,2.70E-07,8.32E-07,1
X1700016C15Rik,1.558387039,2.323163013,1.941803487,1.1963945,0.231542646,0.330377523,1
X1700013H16Rik,1.358102915,-2.341946185,2.283468328,-1.025609226,0.305075817,0.415775844,1
X1700013F07Rik,6.308205132,3.955438225,1.21361381,3.25922315,0.001117178,0.00247741,1
X1700012L04Rik,0.13086516,-0.207186936,4.080472857,-0.050775227,0.959504631,0.973384727,1
X1700012D14Rik,0.250913904,-1.085504064,4.039347368,-0.268732536,0.788135512,0.853293117,1
X1700012D01Rik,10.10680731,2.348815751,0.747306255,3.143043078,0.001672012,0.003622587,1
X1700012B09Rik,19.90256103,4.047644767,0.697722323,5.801225833,6.58E-09,2.28E-08,1
X1700011I03Rik,1.840134436,-0.796244573,1.814336937,-0.438862571,0.660761119,0.759792462,1
X1700011E24Rik,1.32522067,0.643071083,2.181700765,0.294756776,0.768179688,0.840699674,1
X1700010I14Rik,51.14049378,0.149065387,0.326493986,0.456563958,0.64798449,0.749860943,1
X1700009J07Rik,9.25423841,3.773478729,0.970624804,3.887680096,0.000101207,0.000250303,1
X1700008O03Rik,2.135670709,1.663871909,1.649876827,1.008482501,0.313222884,0.424950481,1
X1700008J07Rik,27.20732607,-0.951329806,0.447789164,-2.124503859,0.033628034,0.059454252,1
X1700007L15Rik,19.55495346,1.705793561,0.549399382,3.104833417,0.001903862,0.004097191,1
X1700007K13Rik,33.72621025,2.58276643,0.440766753,5.859712452,4.64E-09,1.62E-08,1
X1700007G11Rik,17.44115173,4.016453448,0.802893562,5.002473102,5.66E-07,1.70E-06,1
X1700003M07Rik,1.129191758,0.284890154,2.023889898,0.140763662,0.88805665,0.926848412,1
X1700003M02Rik,23.27301806,1.067023969,0.460446772,2.317366594,0.02048377,0.037712093,1
X1700003F12Rik,111.5991841,1.894486224,0.290367091,6.524452254,6.83E-11,2.68E-10,1
X1700003E16Rik,12.91069029,1.105286126,0.689267402,1.603566517,0.108809636,0.171331261,1
X1700001O22Rik,1.285275035,0.638678579,1.922242729,0.332256988,0.739695216,0.816268521,1
X1700001L19Rik,9.062035078,2.038561001,0.816182305,2.497678507,0.012500951,0.024007428,1
X1700001L05Rik,14.37509263,-1.084618982,0.603477858,-1.797280494,0.072291101,0.119250805,1
X1700001K23Rik,1.39623925,1.452742647,2.118625427,0.685700562,0.492901952,0.60925266,1
X1700001J03Rik,0.12596914,-0.207186936,4.080472857,-0.050775227,0.959504631,0.973384727,1
X1700001G17Rik,1.818883667,-0.302484652,1.621355096,-0.186562865,0.852003385,0.898946819,1
X1700001G11Rik,2.677313688,1.655477448,1.453986399,1.138578359,0.254879059,0.358520722,1
X1700001C19Rik,37.99441842,0.519155067,0.380986187,1.362661127,0.172989334,0.256985469,1
X1700001C02Rik,13.36231727,3.820272542,0.802499727,4.760465847,1.93E-06,5.54E-06,1
X1600029I14Rik,2.97485738,3.431544651,1.640380226,2.091920273,0.036445648,0.064038104,1
X1600023N17Rik,1.129624755,-3.255292605,2.460522163,-1.323008853,0.185832434,0.273053007,1
X1600020E01Rik,61.88993156,1.162966462,0.289356581,4.019146406,5.84E-05,0.000147072,1
X1600015I10Rik,0.185212497,1.716366415,4.080472857,0.420629294,0.6740258,0.761121288,1
X1600014C23Rik,0.492245083,2.781486536,3.713338831,0.749052716,0.453825433,0.571029752,1
X1600014C10Rik,1008.598915,0.764293633,0.109179521,7.000338768,2.55E-12,1.10E-11,1
X1600012H06Rik,818.513713,0.418064852,0.131639432,3.175832994,0.001494069,0.003257851,1
X1600010M07Rik,165.0676022,2.202355934,0.207296358,10.62419018,2.30E-26,2.04E-25,1
X1600002K03Rik,165.2273789,1.933367142,0.21737239,8.89426272,5.88E-19,3.66E-18,1
X1600002H07Rik,85.37291,0.231187741,0.258696289,0.893664696,0.37150132,0.488286005,1
X1500026H17Rik,3.634814391,1.599328591,1.222460169,1.308286872,0.190776026,0.279301237,1
X1500017E21Rik,3.096386412,1.962989663,1.507072947,1.302518014,0.192739364,0.281786677,1
X1500015O10Rik,1075.553991,2.015421325,0.120338514,16.74793257,5.86E-63,2.35E-61,1
X1500015L24Rik,0.433986643,2.626668995,3.901392682,0.673264449,0.500779066,0.615556971,1
X1500015A07Rik,35.59410485,0.035744732,0.40684415,0.087858538,0.929989111,0.958220217,1
X1500012F01Rik,364.0496898,2.112714995,0.14574149,14.49631804,1.28E-47,2.88E-46,1
X1500011K16Rik,589.1964215,2.154564554,0.172224302,12.51022375,6.56E-36,9.10E-35,1
X1500011B03Rik,181.899825,1.374780462,0.18152875,7.573348383,3.64E-14,1.76E-13,1
X1500009L16Rik,11.53062028,0.99176695,0.736827138,1.345996774,0.178303557,0.263886777,1
X1500009C09Rik,27.37208625,2.370208384,0.501485195,4.726377583,2.29E-06,6.52E-06,1
X1500004A13Rik,26.16300464,-1.539319602,0.489608164,-3.143982713,0.001666653,0.003611897,1
X15.Sep,8064.515199,1.2996981,0.117667015,11.04556019,2.30E-28,2.27E-27,1
X1300017J02Rik,1.797446189,-0.022604218,1.693860889,-0.01334479,0.989352714,0.992510782,1
X1300002E11Rik,83.36280938,-0.555970917,0.2854602,-1.947630236,0.051459223,0.087611793,1
X1200014J11Rik,904.4981655,0.068664871,0.12100089,0.567474102,0.570392117,0.680213943,1
X1190007I07Rik,112.8398435,1.734376051,0.224900381,7.711752408,1.24E-14,6.17E-14,1
X1190005I06Rik,9.179120487,1.298458822,0.91269248,1.422668478,0.154832283,0.233465897,1
X1190002N15Rik,311.0967801,-1.011935648,0.153038018,-6.612315445,3.78E-11,1.51E-10,1
X1190002F15Rik,18.31153183,2.174279876,0.596360772,3.645913641,0.000266443,0.000631714,1
X1110065P20Rik,249.3019947,1.982829881,0.186037078,10.65825105,1.60E-26,1.43E-25,1
X1110059G10Rik,581.2490507,1.6010834,0.181900298,8.801983358,1.34E-18,8.21E-18,1
X1110059E24Rik,424.4991872,0.81401144,0.151066699,5.388424078,7.11E-08,2.28E-07,1
X1110051M20Rik,179.2820226,1.277841268,0.217518594,5.874630048,4.24E-09,1.49E-08,1
X1110046J04Rik,3.050863355,1.591323731,1.269664787,1.253341628,0.210081405,0.30379103,1
X1110038F14Rik,293.356495,0.961761309,0.175435871,5.482124621,4.20E-08,1.37E-07,1
X1110038B12Rik,122.5438082,1.659326507,0.230161462,7.209402014,5.62E-13,2.53E-12,1
X1110037F02Rik,637.5778456,-0.844344697,0.117460241,-7.188344652,6.56E-13,2.94E-12,1
X1110034G24Rik,293.338899,1.4635692,0.157619476,9.285459117,1.61E-20,1.09E-19,1
X1110032F04Rik,0.13086516,-0.207186936,4.080472857,-0.050775227,0.959504631,0.973384727,1
X1110032A03Rik,405.9089877,1.589808728,0.152955758,10.39391225,2.64E-25,2.24E-24,1
X1110028F11Rik,0.216993322,1.716366415,4.080472857,0.420629294,0.6740258,0.761121288,1
X1110020A21Rik,9.501062875,1.0967003,0.777150057,1.411182164,0.158190908,0.237748662,1
X1110019D14Rik,57.06937222,0.590840932,0.320737729,1.842131058,0.065455982,0.108928561,1
X1110017D15Rik,32.93941712,3.356687275,0.512877323,6.544815153,5.96E-11,2.35E-10,1
X1110012L19Rik,361.4487898,1.857628027,0.174696821,10.6334392,2.08E-26,1.85E-25,1
X1110008P14Rik,102.6634123,1.583777833,0.237944494,6.656081028,2.81E-11,1.13E-10,1
X1110008L16Rik,91.72288649,0.348801445,0.25510809,1.367269241,0.171540929,0.255101744,1
X1110008F13Rik,2284.520788,1.837202204,0.110123635,16.68308719,1.74E-62,6.87E-61,1
X1110007C09Rik,680.0941974,1.600241897,0.125982344,12.70211244,5.76E-37,8.39E-36,1
X1110006O24Rik,11.96936021,0.115541653,0.640972218,0.180260001,0.856948456,0.902020234,1
X1110004F10Rik,1189.475249,0.862596888,0.103974719,8.296217582,1.07E-16,5.99E-16,1
X1110004E09Rik,301.0099376,1.509251897,0.160411787,9.40860972,5.03E-21,3.49E-20,1
X1110002L01Rik,67.33339306,-0.333846805,0.338989926,-0.984828103,0.324708514,0.437506467,1
X1110001J03Rik,140.685227,2.614992838,0.227247673,11.50723705,1.21E-30,1.32E-29,1
X10.Mar,6.75001356,-0.499147803,0.941372971,-0.530233838,0.595949813,0.703181831,1
X1.Mar,2966.646562,0.293495186,0.120523577,2.435168237,0.014884867,0.02814845,1
X0610040J01Rik,2139.682665,0.647902455,0.104683873,6.189133375,6.05E-10,2.24E-09,1
X0610040F04Rik,0.55563749,3.011991367,3.523498934,0.854829652,0.39264546,0.509994345,1
X0610040B10Rik,7.912363824,1.190784534,0.791265527,1.504911428,0.13234685,0.203872051,1
X0610039K10Rik,6.820331708,-0.929274474,0.858805578,-1.08205454,0.279228294,0.386460885,1
X0610038B21Rik,1.336995893,0.743422456,2.023134688,0.367460684,0.713275414,0.794096772,1
X0610037L13Rik,747.666195,0.961841374,0.121365982,7.925131548,2.28E-15,1.18E-14,1
X0610030E20Rik,508.2672185,-1.303892819,0.128010198,-10.18585116,2.29E-24,1.86E-23,1
X0610012G03Rik,769.6627158,1.574017189,0.119982134,13.11876306,2.57E-39,4.16E-38,1
X0610011F06Rik,195.2545539,2.084367059,0.18144904,11.48734137,1.53E-30,1.66E-29,1
X0610010K14Rik,723.5433946,1.171209899,0.129369775,9.053195796,1.39E-19,8.96E-19,1
X0610010F05Rik,210.8054583,-0.049530533,0.193352941,-0.256166433,0.797822326,0.859781731,1
X0610010B08Rik,101.9131272,0.360687591,0.282229197,1.277995312,0.201251079,0.292868467,1
X0610009O20Rik,719.7956944,0.005464655,0.125388125,0.043581922,0.965237662,0.976898557,1
X0610009L18Rik,19.74474469,0.663420786,0.506218958,1.310541169,0.190012826,0.278286743,1
X0610009B22Rik,558.790937,1.833746709,0.165326259,11.09168451,1.38E-28,1.37E-27,1
X0610007P14Rik,361.91795,1.230167109,0.155730333,7.899341657,2.80E-15,1.44E-14,1
Wwtr1,325.1824666,-0.895829282,0.171629687,-5.219547378,1.79E-07,5.59E-07,1
Wwp2,848.1314653,-0.468433539,0.126195118,-3.711978298,0.000205646,0.000493358,1
Wwp1,619.4066881,-1.229704892,0.154899943,-7.938704609,2.04E-15,1.06E-14,1
Wwox,86.15911665,0.171062224,0.263605021,0.648933862,0.516381127,0.631058119,1
Wwc2,443.2339872,-1.476645155,0.15560632,-9.489621975,2.32E-21,1.64E-20,1
Wwc1,48.99062119,-0.315958788,0.35914429,-0.879754453,0.378992344,0.496286965,1
Wtip,519.1930598,0.161084315,0.149308716,1.078867455,0.280646819,0.388076034,1
Wtap,1931.065187,0.640081151,0.106734745,5.99693336,2.01E-09,7.24E-09,1
Wt1,0.12596914,-0.207186936,4.080472857,-0.050775227,0.959504631,0.973384727,1
Wscd2,0.633822001,-0.744672722,2.879825489,-0.258582586,0.795957321,0.858753445,1
Wscd1,137.8484312,-0.384445606,0.218143313,-1.762353388,0.078009609,0.127518886,1
Wsb2,644.9297819,-0.010794037,0.140732668,-0.076698869,0.938863104,0.965312356,1
Wsb1,3950.763001,-0.218764223,0.097822271,-2.236343737,0.025329264,0.045803189,1
Wrnip1,436.5695514,0.12683829,0.142850224,0.887911037,0.374588607,0.491658411,1
Wrn,256.0682713,-1.298634016,0.177850961,-7.301810507,2.84E-13,1.30E-12,1
Wrb,340.6935264,0.652701239,0.140799213,4.635688131,3.56E-06,1.00E-05,1
Wrap53,108.7384997,0.503540191,0.226761985,2.220567041,0.0263803,0.047546737,1
Wnt9b,0.593981023,1.733970414,2.98505344,0.580884211,0.561318494,0.672797243,1
Wnt9a,4.648721153,-0.149114459,1.026648007,-0.145243996,0.88451823,0.923934196,1
Wnt8b,0.246122542,1.716366415,4.080472857,0.420629294,0.6740258,0.761121288,1
Wnt7b,4.631404741,-0.776302653,1.153796602,-0.672824527,0.501058932,0.615658205,1
Wnt7a,7.906757805,0.209563736,0.808704011,0.259135274,0.795530869,0.858548365,1
Wnt6,5.543321887,-0.382085693,1.15009997,-0.332219549,0.739723484,0.816268521,1
Wnt5b,104.2065041,-0.162515266,0.243332763,-0.667872521,0.504214969,0.618765759,1
Wnt5a,79.64998157,0.321262454,0.285178913,1.126529485,0.259941468,0.36428296,1
Wnt4,6.38831821,1.236662099,0.914966149,1.35159328,0.176505461,0.261499274,1
Wnt3,3.337837598,0.283386724,1.216651994,0.232923404,0.815820884,0.873189722,1
Wnt2b,4.074938909,-2.284465977,1.359689919,-1.680137467,0.092930573,0.148813431,1
Wnt16,0.498060821,-0.129610504,3.422142696,-0.037874079,0.96978808,0.979117248,1
Wnt11,19.31999681,0.686316004,0.554722635,1.237223724,0.216004036,0.31124168,1
Wnk4,6.761390176,-0.182884865,0.885467422,-0.206540479,0.836368749,0.88884802,1
Wnk3,5.725335356,-0.578119874,0.97451018,-0.593241493,0.553019548,0.665104865,1
Wnk2,29.38541712,-1.150282282,0.447112629,-2.572690209,0.010091149,0.019644057,1
Wnk1,4546.855337,-1.98209942,0.095252922,-20.8088044,3.60E-96,6.37E-94,1
Wls,2333.455488,0.280138016,0.089716146,3.122492747,0.001793265,0.003871455,1
Wiz,350.6717928,-1.940271622,0.18484285,-10.49687138,8.93E-26,7.73E-25,1
Wisp2,2.487126254,2.471684456,1.683518772,1.468165664,0.142059228,0.216864907,1
Wisp1,12.73832321,-1.069709198,0.753200505,-1.420218376,0.155544115,0.234414278,1
Wipi2,567.5525636,-0.334423165,0.128488655,-2.602744691,0.009248079,0.018129944,1
Wipi1,115.1114598,-0.323304115,0.229292199,-1.41000922,0.15853696,0.238142216,1
Wipf3,19.41685954,-0.252987815,0.508164158,-0.497846632,0.618592146,0.7228124,1
Wipf2,409.8037171,-1.959013881,0.154011617,-12.71990982,4.58E-37,6.71E-36,1
Wipf1,1256.399502,-1.410051574,0.106036204,-13.29783153,2.38E-40,4.00E-39,1
Wif1,0.77704011,0.122084418,2.686738121,0.045439642,0.963756884,0.975797185,1
Wibg,313.7658498,1.029308627,0.165019522,6.237496117,4.45E-10,1.67E-09,1
Whsc1l1,995.5854292,-1.011010121,0.108924867,-9.281720074,1.67E-20,1.13E-19,1
Whsc1,406.4624443,-1.479738011,0.15189305,-9.741973115,2.00E-22,1.49E-21,1
Whrn,1252.058902,-1.788800831,0.11389802,-15.70528471,1.39E-55,4.16E-54,1
Whamm,283.7549487,-0.328810457,0.16665906,-1.97295279,0.048500941,0.083058474,1
Wfs1,127.1576566,-1.004893392,0.230348866,-4.362484652,1.29E-05,3.46E-05,1
Wfikkn2,83.61760416,2.535558818,0.384022137,6.602637121,4.04E-11,1.61E-10,1
Wfikkn1,7.844968485,0.451473466,0.827197408,0.545786848,0.585212465,0.693005106,1
Wfdc6a,3.83398194,2.343896353,1.262121836,1.857107837,0.063295813,0.105686073,1
Wfdc3,1.761530276,1.85358135,1.873940256,0.989135776,0.322596716,0.435197843,1
Wfdc21,1612.095202,2.465247921,0.157806784,15.62193875,5.16E-55,1.52E-53,1
Wfdc2,68.03404088,2.733352702,0.320968744,8.515946642,1.65E-17,9.56E-17,1
Wfdc18,2.168541109,3.881261164,1.853747463,2.093737815,0.036283342,0.063770154,1
Wfdc17,2413.724577,4.16389618,0.372828077,11.16840827,5.82E-29,5.86E-28,1
Wfdc1,561.1780996,1.62456004,0.148138679,10.96648118,5.54E-28,5.36E-27,1
Wee1,36.78290791,0.31918553,0.392724918,0.812745805,0.416363813,0.534622855,1
Wdyhv1,152.0092233,1.144262491,0.208168404,5.496811565,3.87E-08,1.26E-07,1
Wdtc1,359.2292179,-0.944694277,0.158720945,-5.951919441,2.65E-09,9.46E-09,1
Wdsub1,173.5937769,-0.154425298,0.18370545,-0.840613587,0.400564445,0.518138658,1
Wdr95,2.424628438,1.913930628,1.503645193,1.272860537,0.203067535,0.295023922,1
Wdr93,6.517411687,2.032149034,0.928483185,2.188676183,0.028620384,0.051273782,1
Wdr92,288.1725284,0.59581821,0.15045799,3.960030368,7.49E-05,0.000187031,1
Wdr91,308.6583954,-0.070663454,0.17308862,-0.408250142,0.683090039,0.767835998,1
Wdr90,60.83914365,-1.005251242,0.308632145,-3.257117766,0.001125497,0.002494882,1
Wdr89,58.40589253,0.034945104,0.364053307,0.095988977,0.923529327,0.953531147,1
Wdr86,79.61261126,2.174744896,0.342762615,6.344755227,2.23E-10,8.51E-10,1
Wdr83os,452.741525,0.99280057,0.141642369,7.009206189,2.40E-12,1.04E-11,1
Wdr83,229.7599906,1.098269792,0.196418759,5.591470974,2.25E-08,7.49E-08,1
Wdr82,1414.474011,-0.213652791,0.09652012,-2.213557032,0.026859266,0.048319643,1
Wdr81,1839.131025,-1.679923043,0.104497117,-16.07626218,3.74E-58,1.23E-56,1
Wdr8,300.7640974,1.419527819,0.150759597,9.415837177,4.69E-21,3.27E-20,1
Wdr78,43.4337075,0.590147253,0.345559435,1.70780246,0.087673003,0.141435221,1
Wdr77,384.1300776,0.006266149,0.139185339,0.045020177,0.964091226,0.97605394,1
Wdr76,72.99005491,-1.157828252,0.288741925,-4.009906945,6.07E-05,0.000152721,1
Wdr75,353.5829626,0.442140224,0.160313649,2.757969943,0.005816155,0.011763313,1
Wdr74,347.1966767,1.489307387,0.14563643,10.22620087,1.51E-24,1.24E-23,1
Wdr73,291.4483723,1.119784875,0.17229688,6.499159316,8.08E-11,3.16E-10,1
Wdr72,14.17504129,0.71497974,0.628018862,1.138468576,0.254924873,0.358555447,1
Wdr70,130.8703541,0.402635069,0.213397147,1.886787496,0.059188914,0.099376242,1
Wdr7,450.1527121,-1.470512766,0.139443077,-10.54561329,5.32E-26,4.65E-25,1
Wdr63,19.18035163,0.602640547,0.507259217,1.188032719,0.234820519,0.334466914,1
Wdr62,47.2666045,-0.925216005,0.352218313,-2.626825383,0.008618555,0.016974062,1
Wdr61,675.0271832,1.665580305,0.125118655,13.31200612,1.97E-40,3.33E-39,1
Wdr60,76.53545338,0.0157289,0.265092239,0.059333689,0.952686329,0.973384727,1
Wdr6,582.5314077,-0.292015961,0.130497739,-2.237708973,0.02524004,0.045646709,1
Wdr5b,158.4487689,0.062837142,0.194232438,0.323515177,0.746305115,0.82201091,1
Wdr59,136.5647817,-0.297754709,0.218129883,-1.365034014,0.17224236,0.256032678,1
Wdr55,229.3531651,1.200778042,0.177904033,6.749583012,1.48E-11,6.06E-11,1
Wdr54,21.13598749,1.855452868,0.497244014,3.731473516,0.000190363,0.000457924,1
Wdr53,208.3700935,1.174220499,0.173666065,6.761369876,1.37E-11,5.61E-11,1
Wdr5,556.7908436,0.109349456,0.130715258,0.836546991,0.402847253,0.520654994,1
Wdr48,905.5896404,-0.089574257,0.113676165,-0.787977468,0.430709886,0.548931922,1
Wdr47,160.2958895,-0.556006812,0.190232863,-2.922769513,0.003469332,0.0072181,1
Wdr46,304.2381885,0.544741967,0.171924424,3.16849669,0.001532295,0.003336487,1
Wdr45b,1563.459004,0.780283346,0.099420817,7.848289458,4.22E-15,2.15E-14,1
Wdr45,432.912871,1.281151962,0.145876723,8.782428969,1.60E-18,9.73E-18,1
Wdr44,469.9440594,-0.994546062,0.166210479,-5.983654378,2.18E-09,7.84E-09,1
Wdr43,682.3488131,-0.117250189,0.132184234,-0.88702098,0.375067605,0.492105348,1
Wdr41,788.1741112,0.232264347,0.117244662,1.981022785,0.047588718,0.081669344,1
Wdr4,292.5815007,-0.033911448,0.155590646,-0.217953,0.827465732,0.882259279,1
Wdr38,1.70617572,1.839573049,2.013421814,0.91365507,0.36089812,0.476341732,1
Wdr37,919.383946,-0.271587787,0.136144459,-1.994850087,0.046059233,0.079341376,1
Wdr36,467.3850282,0.02943033,0.133597886,0.220290386,0.825645007,0.88093391,1
Wdr35,134.9318934,0.146571355,0.208195492,0.704008303,0.481427603,0.599040095,1
Wdr34,131.4622992,1.271504913,0.23766551,5.349976582,8.80E-08,2.81E-07,1
Wdr33,891.7243579,-0.094290679,0.118681722,-0.794483577,0.426913966,0.545162836,1
Wdr31,15.64408716,2.057175427,0.656817304,3.13203598,0.001735986,0.003754003,1
Wdr3,493.3650999,-0.092939149,0.125000778,-0.743508565,0.457173838,0.574548075,1
Wdr27,2.599259641,1.635353182,1.557792151,1.049789075,0.293815099,0.40329473,1
Wdr26,2353.259814,-1.197121536,0.091420953,-13.09460791,3.53E-39,5.69E-38,1
Wdr25,62.49249654,0.315018712,0.311486428,1.011340091,0.311853684,0.423431384,1
Wdr24,371.3270869,0.203782937,0.144667507,1.408629629,0.158944713,0.238695905,1
Wdr20,326.0386801,-0.107733901,0.158916007,-0.677929829,0.497816186,0.61443189,1
Wdr19,77.91225719,-0.57520301,0.301318871,-1.908951163,0.056268392,0.094999093,1
Wdr18,578.7272774,0.799199977,0.13308059,6.005383494,1.91E-09,6.87E-09,1
Wdr17,6.703303467,0.681596143,0.90935383,0.749538981,0.453532413,0.571029752,1
Wdr13,649.8989846,-1.05956253,0.116133944,-9.123624801,7.27E-20,4.75E-19,1
Wdr12,452.4622554,1.699369058,0.163191403,10.41334916,2.16E-25,1.83E-24,1
Wdr11,628.9668121,-1.005506631,0.121877923,-8.250112923,1.58E-16,8.75E-16,1
Wdr1,2947.34455,-0.323786161,0.100060228,-3.235912681,0.001212545,0.002676498,1
Wdpcp,110.1205736,0.804803889,0.227381232,3.539447299,0.000400966,0.000931143,1
Wdhd1,46.70152622,-0.318214962,0.342269507,-0.929720454,0.352515841,0.467569077,1
Wdfy4,1268.393611,-1.989259422,0.113281736,-17.56028376,4.96E-69,2.62E-67,1
Wdfy3,1802.968675,-2.738306172,0.10417705,-26.28511918,2.84E-152,2.53E-149,1
Wdfy2,322.0353877,-1.553714885,0.172540207,-9.004943888,2.16E-19,1.38E-18,1
Wdfy1,290.3558362,-0.877596412,0.153706581,-5.709556537,1.13E-08,3.86E-08,1
Wbscr27,23.22216344,1.005660786,0.480281474,2.093898764,0.036268999,0.063758151,1
Wbscr22,462.6802103,0.879183589,0.143326082,6.134149331,8.56E-10,3.15E-09,1
Wbscr17,8.699690549,-0.590197249,0.897886521,-0.657318309,0.510976267,0.625398689,1
Wbscr16,208.7138176,0.54770643,0.179004636,3.059733209,0.002215342,0.004727345,1
Wbp5,762.0356911,1.712227823,0.134242754,12.75471319,2.93E-37,4.32E-36,1
Wbp4,604.0619901,0.089597079,0.120054933,0.746300686,0.455485797,0.572723528,1
Wbp2,1203.736548,-0.684208084,0.132500618,-5.16381052,2.42E-07,7.47E-07,1
Wbp1l,1207.752383,-0.481771684,0.101559861,-4.743721366,2.10E-06,6.00E-06,1
Wbp11,498.1292372,-0.974773005,0.13449658,-7.247567238,4.24E-13,1.93E-12,1
Wbp1,481.4672991,1.008063083,0.140063329,7.197194964,6.15E-13,2.76E-12,1
Wasl,398.191338,-0.990333389,0.148849662,-6.653245786,2.87E-11,1.15E-10,1
Wash1,692.1181723,0.406327994,0.12737701,3.189963343,0.001422908,0.003113082,1
Wasf3,12.83957,-2.161843538,0.720840858,-2.999057996,0.002708158,0.005722842,1
Wasf2,3568.071934,-1.892363557,0.118096891,-16.023822,8.71E-58,2.82E-56,1
Wasf1,3.01959257,-0.989846999,1.318771395,-0.750582704,0.452903834,0.571029752,1
Was,1529.567557,0.18469017,0.133599567,1.382415937,0.166844025,0.249033417,1
Wars2,130.6179888,-0.227528543,0.225052479,-1.011002166,0.312015393,0.423583172,1
Wars,816.4502181,-0.153743584,0.109334425,-1.406177276,0.15967149,0.239613127,1
Wapal,1052.69979,-0.986830262,0.113806836,-8.671098296,4.28E-18,2.55E-17,1
Wac,1261.439971,-0.40981415,0.106223276,-3.858044729,0.000114298,0.000281367,1
Vwf,2389.928222,-0.728165296,0.154893508,-4.701070478,2.59E-06,7.34E-06,1
Vwce,0.503876559,-2.089907323,3.667549218,-0.569837567,0.568787873,0.67901653,1
Vwc2,1.12790652,-1.935839947,2.583330517,-0.749358216,0.453641328,0.571029752,1
Vwa9,646.7513723,0.38976225,0.120447458,3.235952477,0.001212376,0.002676498,1
Vwa8,327.489166,-1.029552465,0.150134442,-6.857536828,7.01E-12,2.94E-11,1
Vwa7,28.60540885,-1.150777495,0.456823673,-2.519084636,0.011766037,0.022698808,1
Vwa5b1,9.45339325,-0.585258943,0.745124694,-0.785451009,0.432189184,0.550359357,1
Vwa5a,2748.300281,-0.356270605,0.098099257,-3.631736011,0.000281521,0.000665232,1
Vwa3a,24.26319784,-0.741577454,0.481450883,-1.540297215,0.123487922,0.191757117,1
Vwa1,1130.401464,-0.059112301,0.124968778,-0.473016561,0.636201364,0.739113729,1
Vtn,916.2839479,0.436323477,0.143016235,3.050866754,0.002281818,0.004863084,1
Vti1b,1430.027996,1.597993233,0.118359571,13.50117463,1.54E-41,2.70E-40,1
Vti1a,455.6215101,-0.093512323,0.167540013,-0.558149191,0.576742513,0.685763132,1
