X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,r
Zfp36l1,3880.790565,-1.869464546,0.109741231,-17.03520671,4.50E-65,1.94E-63,1
Zfp369,67.29913744,-2.130090125,0.368755954,-5.776422325,7.63E-09,2.63E-08,1
Zfp367,208.1261811,0.231167747,0.169616275,1.362886587,0.172918257,0.256924859,1
Zfp366,97.45791699,-2.424452668,0.341497395,-7.099476309,1.25E-12,5.51E-12,1
Zfp365,15.44389338,-0.278500058,0.59299772,-0.469647772,0.638606688,0.741096424,1
Zfp362,318.1568178,-1.618461992,0.187460962,-8.633594839,5.95E-18,3.51E-17,1
Zfp36,13044.73852,-1.492493188,0.117347585,-12.71856759,4.66E-37,6.82E-36,1
Zfp358,358.3280426,0.435386087,0.158966487,2.738854549,0.006165364,0.012406023,1
Zfp354c,80.10712136,-0.214870322,0.31171069,-0.689326126,0.49061806,0.607137167,1
Zfp354b,32.17439273,0.358657819,0.42536408,0.843178434,0.399128658,0.516675244,1
Zfp354a,68.08046733,0.339887987,0.291676371,1.165291471,0.243901031,0.345657151,1
Zfp35,517.6947989,0.442222688,0.140038819,3.157857881,0.00158933,0.003452704,1
Zfp346,224.4315311,-0.349253364,0.175348092,-1.991771686,0.046396114,0.079848743,1
Zfp345,6.123198948,0.735548479,0.928724216,0.791998815,0.428361367,0.54669044,1
Zfp341,57.6441709,-0.805113199,0.332055858,-2.42463182,0.015323919,0.028895803,1
Zfp335,370.8365133,-1.376619951,0.149062484,-9.235187228,2.58E-20,1.73E-19,1
Zfp334,33.76348815,-1.406444043,0.416759189,-3.374716339,0.000738918,0.001670687,1
Zfp330,566.0881278,1.096781997,0.153408578,7.149417651,8.71E-13,3.88E-12,1
Zfp329,105.0338021,-1.616533885,0.252210018,-6.409475316,1.46E-10,5.63E-10,1
Zfp326,296.8999612,-0.217579411,0.148174976,-1.468395118,0.141996927,0.216789299,1
Zfp324,198.5940709,-0.750886623,0.176434008,-4.255906403,2.08E-05,5.48E-05,1
Zfp322a,224.5099822,-0.323981673,0.182298869,-1.777200671,0.075535229,0.123808033,1
Zfp319,254.9683593,-1.710838352,0.172048665,-9.943921088,2.68E-23,2.08E-22,1
Zfp318,270.9543223,-1.888679594,0.177811022,-10.62183643,2.36E-26,2.09E-25,1
Zfp317,278.2895155,-0.430694253,0.174857774,-2.46311184,0.013773694,0.026220232,1
Zfp316,219.0907809,-1.025332139,0.177833452,-5.765687672,8.13E-09,2.80E-08,1
Zfp300,4.242720364,-0.784465516,1.160655301,-0.675881561,0.499115846,0.615556971,1
Zfp30,44.04807398,-0.113917439,0.347671928,-0.327657858,0.74317037,0.819355834,1
Zfp3,80.36248889,0.15261262,0.273517912,0.557962067,0.576870287,0.685867006,1
Zfp296,9.658715698,-0.32422885,0.708797929,-0.457434815,0.647358545,0.749305816,1
Zfp292,1058.17166,-1.510531041,0.130805134,-11.54794916,7.56E-31,8.33E-30,1
Zfp287,58.3974946,-1.059287772,0.316844106,-3.343245943,0.000828045,0.001862525,1
Zfp286,62.50041981,0.463284545,0.316354595,1.464447025,0.143071848,0.218253692,1
Zfp282,342.3902662,-0.510240125,0.149882537,-3.404266658,0.00066342,0.001507618,1
Zfp281,287.3430661,-0.909858839,0.156908681,-5.798652009,6.69E-09,2.32E-08,1
Zfp280d,409.182877,-0.76835785,0.182482049,-4.210594153,2.55E-05,6.64E-05,1
Zfp280c,164.4848051,-1.084920943,0.23098147,-4.697004235,2.64E-06,7.49E-06,1
Zfp280b,153.2904608,-1.333905505,0.208961125,-6.383510364,1.73E-10,6.65E-10,1
Zfp28,119.8482545,-0.247904569,0.22262192,-1.113567652,0.26546471,0.370859532,1
Zfp277,541.7997706,0.66949926,0.139792318,4.789242153,1.67E-06,4.83E-06,1
Zfp276,602.9543699,-0.533943076,0.135571103,-3.938472606,8.20E-05,0.000204115,1
Zfp275,421.1239031,-1.526444512,0.142516204,-10.71067336,9.07E-27,8.21E-26,1
Zfp273,115.7185876,0.447440874,0.227685348,1.965172019,0.049394331,0.084477597,1
Zfp27,116.3726195,0.260681077,0.245619519,1.061320688,0.288544187,0.397025296,1
