"","X","norm_foldChange","pvalue.adj.FDR","log2foldchange"
"1","Olfml3",0.0491053064172371,0,-4.34797725631049
"2","Fcrls",0.191816516246137,0,-2.38220114679137
"3","Pik3ip1",11.0011110175679,0,3.45957732578233
"4","Phgdh",0.0463109708094055,0,-4.43250218943286
"5","Gpr34",0.449136698677178,0,-1.15477348624914
"6","Mt1",3.49940792213252,0,1.80711084775453
"7","Fkbp5",2.16639495783964,0,1.11529628623926
"8","Basp1",0.452239113738934,0,-1.14484232005386
"9","Cx3cr1",0.519464152506764,0,-0.944903900685955
"10","Gh",0,0,-8.96578428466209
"11","Bin1",0.480518540602855,0,-1.05733599704183
"12","Marcks",0.496936149870072,0,-1.00886759960574
"13","Ccr5",0.401417729719626,0,-1.31682375617961
"14","Cebpb",2.21467224247215,0,1.14709320480827
"15","P2ry12",0.52665311447589,0,-0.925075066236467
"16","Lst1",0.285566720057438,0,-1.80810023738902
"17","Hpgd",0.408666084018002,0,-1.29100557858872
"18","Ucp2",1.82666176964689,0,0.869209524810111
"19","Gpr65",6.0721343337552,0,2.60220370783156
"20","Plxdc2",0.517969733467098,0,-0.949060295532768
"21","Arhgap5",0.521357740303415,0,-0.939654447812822
"22","Ckb",0.519282710024519,0,-0.945407904464828
"23","Scoc",0.538970415543823,0,-0.891722010257628
"24","AC149090.1",0.506370292821941,0,-0.981735326091931
"25","Id2",4.11870542024709,0,2.04219094486448
"26","Aif1",0.536396948765647,0,-0.898627064231832
"27","Cst3",0.548453429242114,0,-0.866558972442868
"28","Sparc",0.543658660481223,0,-0.879226964353305
"29","Itgam",0.544144519614234,0,-0.87793822642497
"30","Tmem154",7.64977527810469,0,2.93541736742282
"31","P2ry13",0.575130039863669,0,-0.798039901168989
"32","S100a9",3.18649178906947,0,1.671968943228
"33","Hexa",0.570546867782772,0,-0.809582692789638
"34","Dynll1",0.332667989055676,0,-1.58784504517542
"35","Cmtm7",0.439816757470396,0,-1.18502552148378
"36","Tlr7",1.79190023667941,0,0.841490318168747
"37","Dusp1",2.16533217354212,0,1.11458835906849
"38","Socs3",2.70267025637076,0,1.4343855042818
"39","Ddit4",2.43209127241905,0,1.2821973717895
"40","Ccl3",2.11026197444727,0,1.07742211067419
"41","S100a8",3.22597806773597,0,1.68973663016246
"42","Lpcat2",0.619735184357856,0,-0.690276217819318
"43","Itm2b",0.621227040808144,0,-0.686807466078523
"44","Klf13",2.02179292839619,0,1.01563524428647
"45","Rbm3",1.77531580955744,0,0.828075687352707
"46","Zbtb16",10.2207116911293,0,3.35342375275923
"47","Fchsd2",0.456909635971582,0,-1.13001922637947
"48","Rgs10",0.622338244618059,0,-0.684229187846661
"49","Hist1h2ap",0.244860577640452,0,-2.02996757505139
